"time","infID","status_dep","stage_dep","origin_dep","tx.status_dep"
652,4227,"i",4,"region",0
657,51822,"i",4,"global",0
776,41094,"i",4,"global",0
832,59884,"i",4,"global",0
844,31402,"i",4,"global",0
870,59611,"i",4,"global",0
889,58940,"i",4,"global",0
900,64039,"i",4,"global",0
913,15348,"i",4,"region",0
950,27148,"i",4,"global",0
963,7075,"i",4,"region",0
1035,25974,"i",4,"global",0
1097,15011,"i",4,"region",0
1125,11553,"i",4,"region",0
1177,59235,"i",4,"global",0
1225,52621,"i",1,"global",0
1376,27001,"i",2,"global",0
1378,65659,"i",4,"global",0
1396,64851,"i",4,"global",0
1418,27745,"i",4,"global",0
1445,49468,"i",4,"global",0
1457,21787,"i",4,"global",0
1466,3479,"i",4,"region",0
1524,36466,"i",4,"global",0
1531,19524,"i",2,"region",0
1553,46008,"i",4,"global",0
1592,33936,"i",1,"global",0
1600,55091,"i",4,"global",0
1603,59706,"i",4,"global",0
1618,14730,"i",4,"region",0
1667,2441,"i",4,"region",0
1685,16264,"i",4,"region",0
1690,66863,"i",4,"global",0
1692,66212,"i",4,"global",0
1694,28796,"i",4,"global",0
1711,76703,"i",4,"global",0
1713,73073,"i",4,"global",0
1718,68314,"i",0,"global",0
1723,12708,"i",4,"region",0
1739,22992,"i",4,"global",0
1744,4260,"i",4,"region",0
1758,55733,"i",1,"global",0
1762,51587,"i",1,"global",0
1783,25570,"i",1,"global",0
1788,37,"i",4,"region",0
1790,10336,"i",4,"region",0
1801,1331,"i",4,"region",0
1808,65750,"i",4,"global",0
1813,53207,"i",4,"global",0
1815,9588,"i",2,"region",0
1824,44313,"i",1,"global",0
1824,45169,"i",0,"global",0
1830,7281,"i",4,"region",0
1849,17661,"i",4,"region",0
1857,29399,"i",4,"global",0
1862,8737,"i",3,"region",0
1865,71428,"i",4,"global",0
1893,17763,"i",4,"region",0
1918,38559,"i",4,"global",0
1925,30644,"i",4,"global",0
1931,43811,"i",4,"global",0
1935,60959,"i",4,"global",0
1944,483,"i",4,"region",0
1945,42704,"i",4,"global",0
1953,46888,"i",2,"global",0
1955,73133,"i",4,"global",0
1967,36832,"i",1,"global",0
1975,7695,"i",4,"region",0
1977,20803,"i",4,"global",0
1984,22909,"i",4,"global",0
1992,59947,"i",4,"global",0
2020,56977,"i",4,"global",0
2024,20896,"i",0,"global",0
2032,77380,"i",4,"global",0
2033,36784,"i",4,"global",0
2044,72758,"i",4,"global",0
2049,61001,"i",2,"global",0
2052,16318,"i",4,"region",0
2053,6309,"i",4,"region",0
2054,609,"i",4,"region",0
2061,865,"i",4,"region",0
2062,30023,"i",0,"global",0
2073,65039,"i",4,"global",0
2075,75818,"i",4,"global",0
2076,42741,"i",4,"global",0
2078,43477,"i",4,"global",0
2087,4952,"i",1,"region",0
2093,79748,"i",4,"global",0
2096,24165,"i",4,"global",0
2097,21468,"i",4,"global",0
2108,63585,"i",4,"global",0
2114,78085,"i",4,"global",0
2115,42318,"i",4,"global",0
2126,7453,"i",4,"region",0
2137,55643,"i",4,"global",0
2148,58249,"i",4,"global",0
2151,42807,"i",4,"global",0
2163,70147,"i",4,"global",0
2184,73153,"i",4,"global",0
2188,6436,"i",4,"region",0
2190,15845,"i",4,"region",0
2203,31234,"i",2,"global",0
2206,62194,"i",4,"global",0
2207,23166,"i",1,"global",0
2211,15999,"i",4,"region",0
2220,15993,"i",4,"region",0
2221,51049,"i",4,"global",0
2222,41489,"i",4,"global",0
2227,71541,"i",4,"global",0
2236,73964,"i",4,"global",0
2237,27854,"i",4,"global",0
2237,43057,"i",4,"global",0
2237,70274,"i",1,"global",0
2239,66653,"i",3,"global",0
2245,9939,"i",4,"region",0
2253,68880,"i",2,"global",0
2259,65789,"i",4,"global",0
2267,5803,"i",4,"region",0
2268,10750,"i",4,"region",0
2268,35341,"i",4,"global",0
2270,33517,"i",3,"global",0
2275,7033,"i",4,"region",0
2275,9171,"i",1,"region",0
2279,16283,"i",4,"region",0
2282,37618,"i",4,"global",0
2286,70671,"i",4,"global",0
2287,71981,"i",4,"global",0
2296,24010,"i",4,"global",0
2305,25005,"i",4,"global",0
2307,79818,"i",4,"global",0
2317,53183,"i",4,"global",0
2320,68842,"i",4,"global",0
2321,22626,"i",4,"global",0
2330,48617,"i",4,"global",0
2334,33728,"i",4,"global",0
2336,11676,"i",4,"region",0
2338,784,"i",4,"region",0
2342,23627,"i",4,"global",0
2342,59128,"i",4,"global",0
2351,8975,"i",4,"region",0
2352,34263,"i",1,"global",0
2353,68883,"i",4,"global",0
2358,17407,"i",4,"region",0
2358,58707,"i",4,"global",0
2368,18764,"i",4,"region",0
2370,53904,"i",4,"global",0
2370,74674,"i",4,"global",0
2380,44278,"i",4,"global",0
2380,71719,"i",4,"global",0
2386,16821,"i",4,"region",0
2389,53632,"i",0,"global",0
2400,31058,"i",4,"global",0
2407,46764,"i",4,"global",0
2412,22839,"i",1,"global",0
2417,47016,"i",4,"global",0
2418,57177,"i",4,"global",0
2418,61882,"i",4,"global",0
2423,47207,"i",1,"global",0
2427,38222,"i",4,"global",0
2429,27133,"i",1,"global",0
2436,44581,"i",4,"global",0
2438,25389,"i",4,"global",0
2440,43984,"i",4,"global",0
2442,16908,"i",4,"region",0
2447,80484,"i",4,"global",0
2449,9329,"i",4,"region",0
2451,55310,"i",4,"global",0
2463,20360,"i",4,"global",0
2464,58877,"i",4,"global",0
2466,72527,"i",4,"global",0
2471,1297,"i",4,"region",0
2474,27211,"i",4,"global",0
2480,9147,"i",1,"region",0
2484,23453,"i",4,"global",0
2485,52214,"i",4,"global",0
2489,7093,"i",4,"region",0
2495,63447,"i",4,"global",0
2500,45326,"i",2,"global",0
2513,28567,"i",4,"global",0
2513,31341,"i",4,"global",0
2517,6472,"i",4,"region",0
2517,65087,"i",4,"global",0
2526,57281,"i",4,"global",0
2540,68577,"i",4,"global",0
2542,36283,"i",4,"global",0
2542,36419,"i",4,"global",0
2542,62719,"i",4,"global",0
2546,75738,"i",4,"global",0
2547,10839,"i",4,"region",0
2552,47838,"i",1,"global",0
2556,61326,"i",4,"global",0
2559,73942,"i",4,"global",0
2563,76658,"i",4,"global",0
2567,47194,"i",4,"global",0
2572,3535,"i",3,"region",0
2572,14750,"i",4,"region",0
2581,6114,"i",4,"region",0
2586,24393,"i",1,"global",0
2603,66980,"i",4,"global",0
2608,39186,"i",4,"global",0
2613,69394,"i",4,"global",0
2613,77918,"i",4,"global",0
2615,36872,"i",2,"global",0
2617,13142,"i",4,"region",0
2622,64727,"i",4,"global",0
2630,56992,"i",4,"global",0
2634,661,"i",4,"region",0
2640,39641,"i",4,"global",0
2642,71520,"i",4,"global",0
2644,37693,"i",4,"global",0
2644,49388,"i",4,"global",0
2645,47295,"i",4,"global",0
2645,64119,"i",0,"global",0
2651,74370,"i",1,"global",0
2659,18791,"i",1,"global",0
2660,46044,"i",4,"global",0
2661,40928,"i",4,"global",0
2662,23176,"i",4,"global",0
2662,32063,"i",4,"global",0
2663,34693,"i",0,"global",0
2664,78622,"i",4,"global",0
2665,63466,"i",4,"global",0
2668,35152,"i",4,"global",0
2683,76983,"i",4,"global",0
2686,47405,"i",4,"global",0
2686,76351,"i",4,"global",0
2691,18486,"i",4,"region",0
2699,65881,"i",1,"global",0
2702,43560,"i",4,"global",0
2703,28728,"i",4,"global",0
2703,39239,"i",4,"global",0
2704,71919,"i",4,"global",0
2705,34777,"i",4,"global",0
2707,71929,"i",4,"global",0
2708,38048,"i",4,"global",0
2710,36811,"i",4,"global",0
2710,66178,"i",4,"global",0
2712,19762,"i",4,"region",0
2714,50805,"i",4,"global",0
2716,76294,"i",4,"global",0
2719,9001,"i",4,"region",0
2726,34229,"i",4,"global",0
2728,20016,"i",2,"global",0
2728,69538,"i",4,"global",0
2731,10815,"i",4,"region",0
2731,70700,"i",4,"global",0
2732,59966,"i",4,"global",0
2735,24041,"i",4,"global",0
2739,26180,"i",4,"global",0
2745,65816,"i",4,"global",0
2748,26583,"i",4,"global",0
2754,22511,"i",4,"global",0
2755,26798,"i",4,"global",0
2758,61594,"i",1,"global",0
2759,54636,"i",4,"global",0
2762,77410,"i",4,"global",0
2765,24538,"i",4,"global",0
2766,79710,"i",4,"global",0
2767,46569,"i",0,"global",0
2768,49307,"i",4,"global",0
2769,51642,"i",4,"global",0
2780,77262,"i",4,"global",0
2782,10234,"i",2,"region",0
2786,33209,"i",4,"global",0
2786,64678,"i",3,"global",0
2787,35820,"i",4,"global",0
2788,54879,"i",4,"global",0
2790,74733,"i",4,"global",0
2791,20887,"i",1,"global",0
2792,49602,"i",4,"global",0
2793,51331,"i",4,"global",0
2797,49114,"i",2,"global",0
2797,61704,"i",4,"global",0
2799,16201,"i",4,"region",0
2802,46074,"i",4,"global",0
2807,51791,"i",4,"global",0
2808,81888,"i",4,"region",0
2812,12692,"i",4,"region",0
2812,15477,"i",1,"region",0
2812,22750,"i",4,"global",0
2813,48821,"i",4,"global",0
2818,75035,"i",4,"global",0
2824,48204,"i",4,"global",0
2830,70107,"i",4,"global",0
2831,8395,"i",2,"region",0
2836,31483,"i",4,"global",0
2842,36424,"i",4,"global",0
2844,54141,"i",4,"global",0
2845,60113,"i",4,"global",0
2857,77320,"i",4,"global",0
2857,77706,"i",1,"global",0
2866,24154,"i",4,"global",0
2867,24289,"i",0,"global",0
2867,52547,"i",3,"global",0
2867,74037,"i",4,"global",0
2870,24443,"i",3,"global",0
2871,31276,"i",4,"global",0
2885,53259,"i",4,"global",0
2886,58044,"i",4,"global",0
2886,64752,"i",4,"global",0
2890,8361,"i",3,"region",0
2891,79087,"i",4,"global",0
2892,55509,"i",4,"global",0
2896,39049,"i",4,"global",0
2897,14,"i",4,"region",0
2898,20311,"i",2,"global",0
2900,24073,"i",4,"global",0
2900,71799,"i",4,"global",0
2901,50974,"i",3,"global",0
2905,33314,"i",4,"global",0
2907,71710,"i",4,"global",0
2908,38665,"i",4,"global",0
2912,7434,"i",4,"region",0
2912,34034,"i",4,"global",0
2913,30694,"i",4,"global",0
2918,10086,"i",4,"region",0
2920,25032,"i",4,"global",0
2926,11829,"i",2,"region",0
2927,30698,"i",4,"global",0
2929,51008,"i",4,"global",0
2931,55652,"i",4,"global",0
2934,21307,"i",2,"global",0
2935,37007,"i",4,"global",0
2937,57365,"i",4,"global",0
2940,955,"i",4,"region",0
2941,11760,"i",3,"region",0
2941,13851,"i",4,"region",0
2943,19060,"i",4,"region",0
2943,45434,"i",4,"global",0
2946,27601,"i",2,"global",0
2947,78927,"i",4,"global",0
2948,13998,"i",4,"region",0
2949,21795,"i",4,"global",0
2949,30202,"i",4,"global",0
2950,68179,"i",4,"global",0
2952,44019,"i",4,"global",0
2954,2081,"i",4,"region",0
2954,54418,"i",4,"global",0
2954,57180,"i",4,"global",0
2956,51718,"i",4,"global",0
2956,76845,"i",4,"global",0
2960,32649,"i",4,"global",0
2968,28020,"i",4,"global",0
2971,80158,"i",4,"region",0
2973,23414,"i",4,"global",0
2978,23297,"i",4,"global",0
2979,30874,"i",4,"global",0
2981,61146,"i",4,"global",0
2983,71345,"i",4,"global",0
2985,11515,"i",4,"region",0
2985,40750,"i",2,"global",0
2986,30208,"i",4,"global",0
2986,55950,"i",3,"global",0
2986,67478,"i",4,"global",0
2989,20940,"i",4,"global",0
3000,11315,"i",4,"region",0
3001,24423,"i",4,"global",0
3002,32208,"i",4,"global",0
3002,43113,"i",4,"global",0
3003,42678,"i",4,"global",0
3008,39377,"i",4,"global",0
3011,951,"i",4,"region",0
3014,16072,"i",4,"region",0
3016,54505,"i",4,"global",0
3017,75492,"i",3,"global",0
3020,54235,"i",4,"global",0
3021,47478,"i",4,"global",0
3022,45883,"i",0,"global",0
3023,76496,"i",1,"global",0
3025,24719,"i",4,"global",0
3029,37762,"i",4,"global",0
3030,58824,"i",4,"global",0
3031,31364,"i",4,"global",0
3032,32104,"i",4,"global",0
3036,26083,"i",4,"global",0
3037,69734,"i",4,"global",0
3041,45571,"i",4,"global",0
3042,51548,"i",1,"global",0
3045,2402,"i",2,"region",0
3047,69331,"i",4,"global",0
3049,29228,"i",4,"global",0
3049,46166,"i",4,"global",0
3054,25489,"i",4,"global",0
3055,25162,"i",4,"global",0
3061,28410,"i",4,"global",0
3065,5968,"i",4,"region",0
3065,75110,"i",4,"global",0
3066,78362,"i",4,"global",0
3067,75249,"i",4,"global",0
3068,11442,"i",4,"region",0
3079,59412,"i",4,"global",0
3083,53774,"i",4,"global",0
3085,73980,"i",1,"global",0
3086,4244,"i",4,"region",0
3086,58517,"i",4,"global",0
3088,32958,"i",4,"global",0
3089,12067,"i",4,"region",0
3091,30696,"i",4,"global",0
3096,64959,"i",4,"global",0
3099,78932,"i",4,"global",0
3100,28574,"i",4,"global",0
3102,52725,"i",4,"global",0
3102,55158,"i",4,"global",0
3103,3414,"i",1,"region",0
3104,10877,"i",4,"global",0
3107,5849,"i",4,"region",0
3108,41373,"i",4,"global",0
3111,53800,"i",4,"global",0
3114,9011,"i",3,"region",0
3117,13495,"i",4,"region",0
3117,14874,"i",4,"region",0
3122,10787,"i",4,"region",0
3125,8593,"i",4,"region",0
3125,30895,"i",4,"global",0
3129,33578,"i",4,"global",0
3129,47107,"i",4,"global",0
3136,47654,"i",4,"global",0
3137,21566,"i",4,"global",0
3140,14687,"i",4,"region",0
3141,24698,"i",4,"global",0
3148,7892,"i",4,"region",0
3150,37804,"i",4,"global",0
3150,38053,"i",4,"global",0
3152,60288,"i",4,"global",0
3153,55441,"i",4,"global",0
3153,60140,"i",4,"global",0
3157,27163,"i",4,"global",0
3157,27804,"i",4,"global",0
3163,21244,"i",4,"global",0
3164,59302,"i",4,"global",0
3165,27467,"i",4,"global",0
3166,33830,"i",4,"global",0
3167,75239,"i",4,"global",0
3168,69654,"i",4,"global",0
3169,863,"i",4,"region",0
3169,25562,"i",0,"global",0
3170,21003,"i",4,"global",0
3170,49081,"i",4,"global",0
3171,14597,"i",4,"region",0
3173,38394,"i",4,"global",0
3173,53611,"i",4,"global",0
3175,48782,"i",4,"global",0
3177,8595,"i",4,"region",0
3179,79114,"i",4,"global",0
3180,80683,"i",4,"global",0
3181,6133,"i",4,"region",0
3183,23343,"i",4,"global",0
3184,15057,"i",4,"global",0
3184,79826,"i",4,"global",0
3185,54475,"i",4,"global",0
3186,71210,"i",4,"global",0
3187,20795,"i",4,"global",0
3188,36274,"i",2,"global",0
3190,67835,"i",1,"global",0
3191,39450,"i",4,"global",0
3191,52848,"i",4,"global",0
3191,62903,"i",4,"global",0
3192,37415,"i",4,"global",0
3193,28537,"i",0,"global",0
3193,59528,"i",4,"global",0
3203,6126,"i",4,"region",0
3203,46807,"i",4,"global",0
3205,44408,"i",4,"region",0
3206,59916,"i",4,"global",0
3209,8596,"i",4,"region",0
3211,13447,"i",4,"region",0
3211,46126,"i",4,"global",0
3216,63276,"i",4,"global",0
3222,32238,"i",4,"global",0
3223,61187,"i",4,"global",0
3224,48787,"i",4,"global",0
3225,15275,"i",4,"region",0
3226,72384,"i",4,"global",0
3227,56515,"i",4,"global",0
3229,36703,"i",4,"global",0
3231,48841,"i",4,"global",0
3232,24850,"i",1,"global",0
3233,18150,"i",4,"region",0
3234,19174,"i",4,"region",0
3234,30496,"i",4,"global",0
3235,70049,"i",4,"global",0
3236,73190,"i",4,"global",0
3239,3304,"i",4,"region",0
3239,5103,"i",4,"region",0
3241,38270,"i",4,"global",0
3241,45456,"i",4,"global",0
3243,36296,"i",4,"global",0
3244,12980,"i",4,"region",0
3246,47762,"i",1,"global",0
3247,8924,"i",4,"region",0
3248,58761,"i",4,"global",0
3249,31732,"i",4,"global",0
3251,49432,"i",2,"global",0
3251,69202,"i",1,"global",0
3252,9551,"i",4,"region",0
3252,40200,"i",4,"global",0
3255,27528,"i",4,"global",0
3255,28853,"i",4,"global",0
3256,43901,"i",4,"global",0
3257,65507,"i",2,"global",0
3257,73179,"i",4,"global",0
3258,6701,"i",4,"region",0
3258,55747,"i",4,"global",0
3260,49589,"i",1,"global",0
3260,54648,"i",4,"global",0
3261,73987,"i",4,"global",0
3262,27252,"i",4,"global",0
3263,24419,"i",3,"global",0
3263,62440,"i",4,"global",0
3266,39945,"i",4,"global",0
3268,36651,"i",4,"global",0
3273,6463,"i",4,"region",0
3274,56007,"i",4,"global",0
3275,72578,"i",4,"global",0
3276,50132,"i",4,"global",0
3277,64964,"i",4,"global",0
3278,17938,"i",4,"region",0
3281,14731,"i",2,"region",0
3281,51042,"i",4,"global",0
3281,69053,"i",4,"global",0
3282,70448,"i",4,"global",0
3285,25533,"i",4,"global",0
3286,32862,"i",4,"global",0
3287,28839,"i",4,"global",0
3293,24059,"i",4,"global",0
3293,30380,"i",4,"global",0
3294,56177,"i",4,"global",0
3295,28388,"i",4,"global",0
3296,33401,"i",0,"global",0
3296,37596,"i",4,"global",0
3296,46409,"i",4,"global",0
3297,28649,"i",4,"global",0
