"time","IDs","migrant"
6,10042,"12"
8,69786,"21"
21,21050,"21"
22,35330,"21"
31,55029,"21"
32,18477,"12"
42,41369,"21"
44,57756,"21"
51,6423,"12"
51,69868,"21"
56,30433,"21"
66,71806,"21"
67,9385,"12"
71,11293,"12"
77,9146,"12"
77,17915,"12"
78,1518,"12"
84,44583,"21"
88,49397,"21"
88,57695,"21"
90,52879,"21"
91,27140,"21"
95,69178,"21"
101,77648,"21"
108,630,"12"
111,77376,"21"
116,55781,"21"
118,2161,"12"
119,14955,"12"
119,71311,"21"
136,34054,"21"
138,42518,"21"
150,616,"12"
151,19339,"12"
151,42106,"21"
152,27827,"21"
154,13228,"12"
154,17582,"12"
155,17998,"12"
159,9958,"12"
162,50139,"21"
169,9277,"12"
171,11021,"12"
173,40083,"21"
175,39762,"21"
180,34905,"21"
185,48297,"21"
186,33482,"21"
187,74368,"21"
188,6434,"12"
191,41036,"21"
199,41038,"21"
208,19504,"12"
208,21091,"21"
209,60869,"21"
210,12530,"12"
214,35177,"21"
215,19207,"12"
216,49267,"21"
222,12907,"12"
224,52710,"21"
226,17620,"12"
228,73092,"21"
231,17653,"12"
234,16415,"12"
242,39628,"21"
244,55772,"21"
245,64172,"21"
248,68074,"21"
251,6192,"12"
251,13924,"12"
255,18350,"12"
255,79064,"21"
258,48300,"21"
261,5729,"12"
265,75948,"21"
272,71735,"21"
274,38214,"21"
279,40577,"21"
285,61196,"21"
286,5880,"12"
287,14380,"12"
287,35190,"21"
294,18837,"12"
294,20082,"21"
295,19549,"12"
298,16938,"12"
306,12508,"12"
309,12428,"12"
311,36849,"21"
312,72020,"21"
314,60229,"21"
320,6887,"12"
321,43303,"21"
323,7012,"12"
324,208,"12"
328,4017,"12"
330,79762,"21"
334,3335,"12"
334,40991,"21"
334,80100,"21"
338,13183,"12"
353,1632,"12"
354,72305,"21"
354,78127,"21"
355,60434,"21"
360,46666,"21"
365,15221,"12"
384,1415,"12"
388,37932,"21"
389,1957,"12"
392,980,"12"
395,61719,"21"
398,8635,"12"
399,19348,"12"
413,5252,"12"
418,1923,"12"
