"time","r0"
652,1
913,0
963,0
1097,1
1125,1
1466,5
1531,1
1618,0
1667,4
1685,0
1723,1
1744,6
1788,8
1790,2
1801,0
1815,1
1830,2
1849,1
1862,0
1893,4
1944,0
1975,0
2052,1
2053,1
2054,1
2061,2
2087,0
2126,1
2188,0
2190,1
2211,1
2220,0
2245,0
2267,8
2268,0
2275,2
2275,0
2279,0
2336,1
2338,1
2351,2
2358,0
2368,0
2386,8
2442,2
2449,1
2471,2
2480,11
2489,3
2517,2
2547,0
2572,0
2572,0
2581,5
2617,0
2634,0
2691,1
2712,0
2719,1
2731,5
2782,1
2799,5
2808,0
2812,0
2812,0
2831,0
2890,9
2897,0
2912,0
2918,1
2926,1
2940,0
2941,2
2941,1
2943,2
2948,0
2954,1
2971,0
2985,5
3000,0
3011,1
3014,0
3045,0
3065,1
3068,3
3086,1
3089,0
3103,0
3107,0
3114,0
3117,0
3117,1
3122,0
3125,4
3140,0
3148,0
3169,1
3171,0
3177,0
3181,0
3203,0
3205,0
3209,0
3211,1
3225,2
3233,9
3234,1
3239,1
3239,0
3244,1
3247,0
3252,0
3258,1
3273,1
3278,0
3281,3
3300,4
3305,5
3314,0
3325,2
3335,1
3341,0
3348,3
3357,0
3358,1
3366,0
3370,0
3371,0
3374,0
3386,0
3387,1
3407,0
3420,5
3421,4
3431,1
3444,0
3464,3
3465,10
3482,3
3488,0
3500,0
3503,0
3510,1
3513,2
3516,0
3518,0
3518,1
3524,4
3529,0
3538,0
3540,0
3541,2
3543,1
3543,15
3546,3
3547,1
3553,4
3554,6
3563,3
3568,0
3571,0
3572,4
3575,0
3588,1
3592,0
3595,17
3600,0
3601,0
3620,0
3621,0
3632,0
3642,0
3646,0
3654,6
3657,0
3662,0
3662,2
3662,0
3681,2
3683,1
3687,0
3692,0
3696,0
3697,0
3699,0
3702,0
3705,0
3714,0
3717,0
3721,0
3734,2
3752,0
3754,1
3758,1
3759,0
3761,1
3764,5
3770,1
3773,12
3780,2
3788,0
3791,4
3791,2
3800,0
3803,0
3813,0
3835,17
3835,8
3855,5
3860,0
3860,2
3860,0
3862,2
3872,2
3875,1
3877,1
3879,0
3889,0
3895,7
3905,2
3905,0
3906,1
3906,0
3911,0
3918,0
3922,1
3934,3
3936,2
3938,1
3938,2
3939,0
3952,1
3957,0
3961,0
3964,4
3964,0
3976,1
3981,0
3983,1
3991,0
3995,3
3998,0
4002,0
4003,0
4006,0
4014,0
4021,1
4022,0
4024,2
4029,0
4030,1
4046,0
4052,2
4055,1
4055,1
4056,0
4061,1
4068,2
4068,0
4069,0
4069,0
4071,0
4072,1
4076,0
4079,2
4080,1
4081,0
4082,0
4082,1
4085,1
4091,0
4098,1
4099,0
4101,0
4101,1
4108,0
4118,0
4121,1
4125,2
4134,5
4135,0
4146,6
4150,2
4165,0
4167,0
4169,0
4183,0
4185,1
4185,0
4194,0
4198,0
4202,0
