"time","global","region"
2,60000,20000
3,60001,20000
4,60003,20002
5,60006,20002
6,60005,20002
7,60006,20001
8,60006,20001
9,60005,20002
10,60005,20002
11,60006,20002
12,60010,20004
13,60011,20004
14,60011,20004
15,60013,20003
16,60014,20003
17,60015,20003
18,60016,20003
19,60017,20003
20,60018,20003
21,60020,20003
22,60021,20004
23,60020,20005
24,60020,20005
25,60020,20005
26,60020,20006
27,60020,20006
28,60021,20007
29,60023,20007
30,60025,20007
31,60025,20007
32,60026,20007
33,60027,20007
34,60028,20007
35,60029,20007
36,60030,20007
37,60030,20007
38,60030,20007
39,60032,20007
40,60032,20007
41,60032,20007
42,60032,20007
43,60033,20010
44,60033,20010
45,60033,20011
46,60034,20012
47,60035,20012
48,60037,20012
49,60038,20012
50,60039,20012
51,60042,20011
52,60042,20011
53,60043,20011
54,60043,20011
55,60044,20011
56,60048,20011
57,60046,20012
58,60046,20012
59,60049,20012
60,60050,20012
61,60051,20013
62,60051,20014
63,60050,20015
64,60050,20015
65,60051,20016
66,60052,20017
67,60050,20018
68,60052,20017
69,60053,20017
70,60054,20017
71,60054,20017
72,60056,20016
73,60057,20016
74,60057,20016
75,60057,20017
76,60058,20017
77,60059,20018
78,60060,20016
79,60064,20015
80,60065,20015
81,60065,20016
82,60065,20016
83,60066,20016
84,60068,20016
85,60069,20017
86,60069,20018
87,60070,20018
88,60070,20018
89,60069,20020
90,60069,20021
91,60069,20023
92,60068,20024
93,60071,20026
94,60071,20026
95,60071,20027
96,60072,20028
97,60074,20027
98,60076,20027
99,60076,20027
100,60076,20027
101,60077,20027
102,60078,20028
103,60077,20028
104,60079,20028
105,60081,20028
106,60081,20028
107,60080,20028
108,60082,20028
109,60083,20027
110,60083,20027
111,60084,20027
112,60084,20028
113,60086,20028
114,60088,20028
115,60090,20028
116,60091,20028
117,60091,20029
118,60091,20029
119,60094,20028
120,60095,20028
121,60097,20028
122,60098,20028
123,60099,20028
124,60099,20028
125,60100,20029
126,60103,20028
127,60103,20028
128,60104,20028
129,60105,20028
130,60108,20028
131,60108,20028
132,60111,20028
133,60112,20028
134,60114,20028
135,60116,20028
136,60116,20028
137,60115,20029
138,60117,20029
139,60118,20031
140,60120,20030
141,60122,20031
142,60122,20031
143,60124,20031
144,60124,20031
145,60128,20030
146,60133,20030
147,60134,20030
148,60137,20030
149,60141,20031
150,60144,20031
151,60145,20030
152,60146,20029
153,60147,20030
154,60148,20030
155,60151,20028
156,60154,20027
157,60156,20027
158,60158,20027
159,60159,20027
160,60161,20026
161,60164,20026
162,60165,20026
163,60164,20028
164,60168,20028
165,60170,20028
166,60170,20028
167,60172,20028
168,60174,20028
169,60176,20028
170,60177,20028
171,60178,20028
172,60181,20027
173,60181,20027
174,60182,20029
175,60182,20029
176,60183,20030
177,60185,20030
178,60186,20030
179,60187,20031
180,60189,20031
181,60188,20032
182,60188,20032
183,60188,20032
184,60188,20032
185,60191,20032
186,60191,20033
187,60189,20035
188,60190,20036
189,60193,20035
190,60192,20035
191,60191,20035
192,60190,20037
193,60190,20037
194,60192,20037
195,60192,20038
196,60194,20038
197,60195,20038
198,60196,20038
199,60196,20038
200,60197,20039
201,60199,20039
202,60200,20039
203,60202,20039
204,60204,20039
205,60205,20039
206,60206,20039
207,60208,20039
208,60210,20039
209,60211,20040
210,60215,20042
211,60216,20042
212,60217,20042
213,60219,20043
214,60220,20043
215,60220,20045
216,60221,20044
217,60225,20045
218,60227,20045
219,60230,20045
220,60231,20045
221,60232,20046
222,60232,20047
223,60234,20046
224,60234,20046
225,60234,20047
226,60235,20047
227,60238,20046
228,60239,20046
229,60238,20048
230,60239,20048
231,60240,20050
232,60245,20049
233,60245,20049
234,60247,20049
235,60250,20048
236,60255,20048
237,60255,20048
238,60256,20049
239,60258,20048
240,60259,20048
241,60259,20048
242,60259,20048
243,60261,20051
244,60261,20051
245,60262,20053
246,60263,20054
247,60265,20055
248,60269,20054
249,60271,20055
250,60272,20056
251,60272,20057
252,60275,20055
253,60278,20055
254,60280,20055
255,60280,20055
256,60282,20055
257,60283,20055
258,60284,20056
259,60283,20057
260,60284,20057
261,60287,20057
262,60289,20057
263,60289,20057
264,60288,20057
265,60290,20057
266,60289,20057
267,60290,20059
268,60292,20059
269,60294,20059
270,60297,20059
271,60299,20060
272,60300,20060
273,60300,20061
274,60301,20060
275,60300,20061
276,60301,20061
277,60301,20061
278,60302,20061
279,60303,20061
280,60304,20062
281,60304,20062
282,60306,20062
283,60308,20063
284,60308,20063
285,60308,20063
286,60308,20064
287,60310,20062
288,60311,20062
289,60312,20062
290,60313,20062
291,60315,20062
292,60316,20062
293,60316,20062
294,60317,20063
295,60318,20063
296,60320,20062
297,60321,20063
298,60321,20063
299,60323,20062
300,60323,20063
301,60324,20063
302,60326,20063
303,60326,20063
304,60326,20063
305,60325,20063
306,60326,20063
307,60329,20062
308,60329,20062
309,60333,20062
310,60334,20061
311,60335,20061
312,60336,20062
313,60336,20064
314,60338,20064
315,60337,20065
316,60337,20065
317,60338,20066
318,60340,20066
319,60340,20066
320,60342,20068
321,60345,20067
322,60344,20068
323,60344,20068
324,60346,20067
325,60348,20066
326,60349,20066
327,60352,20067
328,60353,20067
329,60353,20067
330,60353,20067
331,60352,20068
332,60354,20068
333,60354,20068
334,60354,20068
335,60354,20069
336,60356,20069
337,60357,20068
338,60359,20068
339,60362,20067
340,60363,20067
341,60362,20067
342,60364,20067
343,60364,20067
344,60366,20068
345,60368,20069
346,60368,20070
347,60369,20070
348,60370,20071
349,60371,20073
350,60371,20073
351,60373,20073
352,60374,20075
353,60374,20076
354,60377,20076
355,60376,20078
356,60374,20079
357,60374,20079
358,60375,20081
359,60375,20080
360,60375,20080
361,60376,20081
362,60378,20081
363,60378,20082
364,60378,20082
365,60379,20082
366,60379,20080
367,60381,20080
368,60381,20080
369,60381,20080
370,60383,20080
371,60383,20080
372,60384,20080
373,60385,20080
374,60386,20080
375,60387,20080
376,60387,20082
377,60391,20083
378,60391,20083
379,60392,20083
380,60392,20083
381,60394,20084
382,60396,20085
383,60396,20085
384,60399,20084
385,60401,20084
386,60401,20084
387,60402,20084
388,60402,20086
389,60401,20088
390,60406,20088
391,60407,20088
392,60407,20088
393,60410,20087
394,60411,20087
395,60411,20087
396,60411,20088
397,60414,20088
398,60415,20088
399,60416,20088
400,60417,20087
401,60421,20087
402,60421,20087
403,60422,20087
404,60423,20087
405,60425,20087
406,60423,20088
407,60425,20088
408,60425,20088
409,60425,20088
410,60425,20088
411,60426,20088
412,60429,20088
413,60431,20088
414,60434,20087
415,60435,20087
416,60437,20088
417,60439,20089
418,60439,20088
419,60441,20088
420,60443,20089
421,60447,20088
422,60448,20088
423,60450,20088
424,60450,20089
425,60452,20089
426,60451,20089
427,60452,20089
428,60455,20089
429,60456,20089
430,60456,20089
431,60458,20089
432,60458,20089
433,60458,20089
434,60460,20089
435,60460,20091
436,60460,20091
437,60460,20091
438,60461,20092
439,60462,20093
440,60464,20093
441,60465,20094
442,60467,20093
443,60470,20092
444,60470,20092
445,60473,20092
446,60473,20093
447,60477,20093
448,60477,20093
449,60477,20093
450,60478,20093
451,60476,20095
452,60476,20096
453,60476,20097
454,60479,20097
455,60480,20098
456,60480,20100
457,60481,20100
458,60482,20100
459,60483,20098
460,60483,20097
461,60484,20097
462,60484,20098
463,60485,20098
464,60486,20098
465,60488,20098
466,60487,20099
467,60487,20099
468,60487,20100
469,60488,20100
470,60487,20101
471,60486,20100
472,60487,20101
473,60489,20102
474,60493,20102
475,60495,20102
476,60495,20103
477,60494,20104
478,60494,20103
479,60496,20103
480,60496,20104
481,60496,20104
482,60497,20104
483,60498,20103
484,60498,20103
485,60502,20103
486,60502,20103
487,60503,20104
488,60502,20105
489,60503,20105
490,60506,20105
491,60505,20105
492,60505,20106
493,60504,20107
494,60503,20107
495,60504,20108
496,60506,20110
497,60506,20111
498,60508,20112
499,60510,20112
500,60514,20112
501,60514,20112
502,60516,20111
503,60516,20111
504,60516,20111
505,60516,20112
506,60517,20112
507,60520,20112
508,60520,20113
509,60523,20112
510,60524,20112
511,60525,20111
512,60528,20109
513,60528,20109
514,60531,20109
515,60532,20109
516,60533,20110
517,60535,20109
518,60537,20110
519,60538,20110
520,60540,20111
521,60542,20112
522,60545,20112
523,60548,20112
524,60549,20113
525,60552,20112
526,60553,20115
527,60553,20116
528,60553,20116
529,60557,20115
530,60558,20115
531,60559,20114
532,60561,20114
533,60562,20114
534,60565,20114
535,60565,20113
536,60564,20116
537,60564,20116
538,60565,20117
539,60569,20117
540,60570,20117
541,60571,20115
542,60572,20115
543,60572,20115
544,60573,20115
545,60574,20115
546,60575,20116
547,60576,20117
548,60577,20117
549,60578,20116
550,60578,20116
551,60579,20116
552,60579,20116
553,60579,20116
554,60578,20116
555,60577,20117
556,60578,20116
557,60580,20117
558,60580,20117
559,60579,20116
560,60582,20115
561,60582,20115
562,60584,20115
563,60584,20115
564,60586,20116
565,60586,20117
566,60587,20118
567,60587,20118
568,60586,20118
569,60587,20119
570,60589,20119
571,60586,20120
572,60586,20120
573,60587,20120
574,60590,20120
575,60589,20121
576,60589,20122
577,60589,20122
578,60591,20121
579,60591,20122
580,60594,20122
581,60595,20123
582,60597,20123
583,60597,20124
584,60599,20124
585,60600,20124
586,60600,20124
587,60602,20124
588,60602,20124
589,60605,20123
590,60606,20123
591,60606,20123
592,60608,20123
593,60605,20124
594,60608,20124
595,60610,20124
596,60614,20124
597,60615,20124
598,60616,20125
599,60619,20125
600,60622,20124
601,60624,20122
602,60624,20122
603,60625,20122
604,60627,20122
605,60628,20122
