position,Median patristic pairwise distance
790,0.3963795
791,0.3963795
792,0.3963795
793,0.3963795
794,0.3963795
795,0.3963795
796,0.3963795
797,0.3963795
798,0.3963795
799,0.3963795
800,0.3963795
801,0.3963795
802,0.3963795
803,0.3963795
804,0.3963795
805,0.3963795
806,0.3963795
807,0.3963795
808,0.3963795
809,0.3963795
810,0.3963795
811,0.3963795
812,0.3963795
813,0.3963795
814,0.3963795
815,0.3963795
816,0.3963795
817,0.3963795
818,0.3963795
819,0.3963795
820,0.3963795
821,0.3963795
822,0.3963795
823,0.3963795
824,0.3963795
825,0.42237545
826,0.42237545
827,0.42237545
828,0.42237545
829,0.42237545
830,0.42237545
831,0.42237545
832,0.42237545
833,0.42237545
834,0.42237545
835,0.42237545
836,0.42237545
837,0.42237545
838,0.42237545
839,0.42237545
840,0.42237545
841,0.42237545
842,0.42237545
843,0.42237545
844,0.42237545
845,0.42237545
846,0.42237545
847,0.42237545
848,0.42237545
849,0.42237545
850,0.42237545
851,0.42237545
852,0.42237545
853,0.42237545
854,0.42237545
855,0.42237545
856,0.42237545
857,0.42237545
858,0.42237545
859,0.42237545
860,0.4509833
861,0.4509833
862,0.4509833
863,0.4509833
864,0.4509833
865,0.4509833
866,0.4509833
867,0.4509833
868,0.4509833
869,0.4509833
870,0.4509833
871,0.4509833
872,0.4509833
873,0.4509833
874,0.4509833
875,0.4509833
876,0.4509833
877,0.4509833
878,0.4509833
879,0.4509833
880,0.4509833
881,0.4509833
882,0.4509833
883,0.4509833
884,0.4509833
885,0.4509833
886,0.4509833
887,0.4509833
888,0.4509833
889,0.4509833
890,0.4509833
891,0.4509833
892,0.4509833
893,0.4509833
894,0.4509833
895,0.464304075
896,0.464304075
897,0.464304075
898,0.464304075
899,0.464304075
900,0.464304075
901,0.464304075
902,0.464304075
903,0.464304075
904,0.464304075
905,0.464304075
906,0.464304075
907,0.464304075
908,0.464304075
909,0.464304075
910,0.464304075
911,0.464304075
912,0.464304075
913,0.464304075
914,0.464304075
915,0.464304075
916,0.464304075
917,0.464304075
918,0.464304075
919,0.464304075
920,0.464304075
921,0.464304075
922,0.464304075
923,0.464304075
924,0.464304075
925,0.464304075
926,0.464304075
927,0.464304075
